Step,Energy,Magnetization
0,192,-60
1000,-4096,-90
2000,-6580,-40
3000,-8292,-28
4000,-9580,80
5000,-10712,142
6000,-11612,138
7000,-12340,152
8000,-12988,72
9000,-13492,146
10000,-13844,158
11000,-14188,184
12000,-14460,150
13000,-14684,138
14000,-14868,120
15000,-15036,122
16000,-15196,80
17000,-15376,108
18000,-15520,96
19000,-15612,84
20000,-15748,30
21000,-15828,26
22000,-15904,24
23000,-15960,14
24000,-16044,-46
25000,-16124,-72
26000,-16168,-106
27000,-16228,-110
28000,-16296,-146
29000,-16344,-94
30000,-16408,-120
31000,-16480,-98
32000,-16524,-116
33000,-16584,-80
34000,-16624,-128
35000,-16668,-122
36000,-16732,-72
37000,-16788,-32
38000,-16808,-26
39000,-16844,-26
40000,-16900,-14
41000,-16952,-28
42000,-16996,16
43000,-17052,0
44000,-17084,22
45000,-17104,2
46000,-17128,36
47000,-17144,62
48000,-17160,54
49000,-17192,88
50000,-17212,72
51000,-17240,54
52000,-17268,96
53000,-17284,80
54000,-17304,150
55000,-17340,130
56000,-17352,96
57000,-17360,110
58000,-17376,104
59000,-17408,144
60000,-17444,140
61000,-17456,104
62000,-17476,148
63000,-17500,178
64000,-17532,164
65000,-17560,146
66000,-17588,104
67000,-17608,112
68000,-17640,108
69000,-17676,136
70000,-17724,110
71000,-17744,166
72000,-17764,184
73000,-17808,224
74000,-17840,224
