Beta,Bin,Start,End,Count
0.5,1,42.0,106.6,10
0.5,2,106.6,171.2,10
0.5,3,171.2,235.79999999999998,4
0.5,4,235.79999999999998,300.4,7
0.5,5,300.4,365.0,8
0.5,6,365.0,429.59999999999997,4
0.5,7,429.59999999999997,494.19999999999993,8
0.5,8,494.19999999999993,558.8,5
0.5,9,558.8,623.4,5
0.5,10,623.4,688.0,3
0.5,11,688.0,752.5999999999999,5
0.5,12,752.5999999999999,817.1999999999999,5
0.5,13,817.1999999999999,881.8,3
0.5,14,881.8,946.3999999999999,4
0.5,15,946.3999999999999,1010.9999999999999,3
0.5,16,1010.9999999999999,1075.6,5
0.5,17,1075.6,1140.1999999999998,3
0.5,18,1140.1999999999998,1204.8,1
0.5,19,1204.8,1269.3999999999999,2
0.5,20,1269.3999999999999,1334.0,1
0.5,21,1334.0,1398.6,1
0.5,22,1398.6,1463.1999999999998,0
0.5,23,1463.1999999999998,1527.8,1
0.5,24,1527.8,1592.3999999999999,0
0.5,25,1592.3999999999999,1656.9999999999998,0
0.5,26,1656.9999999999998,1721.6,0
0.5,27,1721.6,1786.1999999999998,0
0.5,28,1786.1999999999998,1850.7999999999997,1
0.5,29,1850.7999999999997,1915.3999999999999,0
0.5,30,1915.3999999999999,1980.0,1
1.0,1,0.0,88.66666666666667,11
1.0,2,88.66666666666667,177.33333333333334,11
1.0,3,177.33333333333334,266.0,3
1.0,4,266.0,354.6666666666667,7
1.0,5,354.6666666666667,443.33333333333337,10
1.0,6,443.33333333333337,532.0,9
1.0,7,532.0,620.6666666666667,6
1.0,8,620.6666666666667,709.3333333333334,4
1.0,9,709.3333333333334,798.0,4
1.0,10,798.0,886.6666666666667,5
1.0,11,886.6666666666667,975.3333333333334,6
1.0,12,975.3333333333334,1064.0,2
1.0,13,1064.0,1152.6666666666667,3
1.0,14,1152.6666666666667,1241.3333333333335,4
1.0,15,1241.3333333333335,1330.0,2
1.0,16,1330.0,1418.6666666666667,0
1.0,17,1418.6666666666667,1507.3333333333335,1
1.0,18,1507.3333333333335,1596.0,1
1.0,19,1596.0,1684.6666666666667,1
1.0,20,1684.6666666666667,1773.3333333333335,2
1.0,21,1773.3333333333335,1862.0,2
1.0,22,1862.0,1950.6666666666667,1
1.0,23,1950.6666666666667,2039.3333333333335,1
1.0,24,2039.3333333333335,2128.0,1
1.0,25,2128.0,2216.666666666667,0
1.0,26,2216.666666666667,2305.3333333333335,1
1.0,27,2305.3333333333335,2394.0,0
1.0,28,2394.0,2482.666666666667,1
1.0,29,2482.666666666667,2571.3333333333335,0
1.0,30,2571.3333333333335,2660.0,1
5.0,1,14.0,106.8,9
5.0,2,106.8,199.6,4
5.0,3,199.6,292.4,8
5.0,4,292.4,385.2,8
5.0,5,385.2,478.0,8
5.0,6,478.0,570.8,11
5.0,7,570.8,663.6,3
5.0,8,663.6,756.4,6
5.0,9,756.4,849.1999999999999,4
5.0,10,849.1999999999999,942.0,4
5.0,11,942.0,1034.8,5
5.0,12,1034.8,1127.6,3
5.0,13,1127.6,1220.3999999999999,7
5.0,14,1220.3999999999999,1313.2,2
5.0,15,1313.2,1406.0,2
5.0,16,1406.0,1498.8,6
5.0,17,1498.8,1591.6,2
5.0,18,1591.6,1684.3999999999999,2
5.0,19,1684.3999999999999,1777.2,0
5.0,20,1777.2,1870.0,2
5.0,21,1870.0,1962.8,1
5.0,22,1962.8,2055.6,0
5.0,23,2055.6,2148.4,1
5.0,24,2148.4,2241.2,0
5.0,25,2241.2,2334.0,0
5.0,26,2334.0,2426.7999999999997,1
5.0,27,2426.7999999999997,2519.6,0
5.0,28,2519.6,2612.4,0
5.0,29,2612.4,2705.2,0
5.0,30,2705.2,2798.0,1
10.0,1,2.0,95.93333333333334,9
10.0,2,95.93333333333334,189.86666666666667,5
10.0,3,189.86666666666667,283.8,10
10.0,4,283.8,377.73333333333335,7
10.0,5,377.73333333333335,471.6666666666667,6
10.0,6,471.6666666666667,565.6,8
10.0,7,565.6,659.5333333333333,8
10.0,8,659.5333333333333,753.4666666666667,6
10.0,9,753.4666666666667,847.4000000000001,3
10.0,10,847.4000000000001,941.3333333333334,10
10.0,11,941.3333333333334,1035.2666666666667,3
10.0,12,1035.2666666666667,1129.2,2
10.0,13,1129.2,1223.1333333333334,3
10.0,14,1223.1333333333334,1317.0666666666666,4
10.0,15,1317.0666666666666,1411.0,4
10.0,16,1411.0,1504.9333333333334,1
10.0,17,1504.9333333333334,1598.8666666666668,2
10.0,18,1598.8666666666668,1692.8000000000002,0
10.0,19,1692.8000000000002,1786.7333333333333,4
10.0,20,1786.7333333333333,1880.6666666666667,1
10.0,21,1880.6666666666667,1974.6000000000001,2
10.0,22,1974.6000000000001,2068.5333333333333,1
10.0,23,2068.5333333333333,2162.4666666666667,0
10.0,24,2162.4666666666667,2256.4,0
10.0,25,2256.4,2350.3333333333335,0
10.0,26,2350.3333333333335,2444.266666666667,0
10.0,27,2444.266666666667,2538.2000000000003,0
10.0,28,2538.2000000000003,2632.133333333333,0
10.0,29,2632.133333333333,2726.0666666666666,0
10.0,30,2726.0666666666666,2820.0,1
15.0,1,8.0,89.66666666666667,8
15.0,2,89.66666666666667,171.33333333333334,7
15.0,3,171.33333333333334,253.0,8
15.0,4,253.0,334.6666666666667,5
15.0,5,334.6666666666667,416.33333333333337,3
15.0,6,416.33333333333337,498.0,6
15.0,7,498.0,579.6666666666667,5
15.0,8,579.6666666666667,661.3333333333334,7
15.0,9,661.3333333333334,743.0,1
15.0,10,743.0,824.6666666666667,7
15.0,11,824.6666666666667,906.3333333333334,3
15.0,12,906.3333333333334,988.0,6
15.0,13,988.0,1069.6666666666667,5
15.0,14,1069.6666666666667,1151.3333333333335,6
15.0,15,1151.3333333333335,1233.0,3
15.0,16,1233.0,1314.6666666666667,1
15.0,17,1314.6666666666667,1396.3333333333335,0
15.0,18,1396.3333333333335,1478.0,4
15.0,19,1478.0,1559.6666666666667,2
15.0,20,1559.6666666666667,1641.3333333333335,3
15.0,21,1641.3333333333335,1723.0,2
15.0,22,1723.0,1804.6666666666667,2
15.0,23,1804.6666666666667,1886.3333333333335,0
15.0,24,1886.3333333333335,1968.0,0
15.0,25,1968.0,2049.666666666667,0
15.0,26,2049.666666666667,2131.3333333333335,2
15.0,27,2131.3333333333335,2213.0,2
15.0,28,2213.0,2294.666666666667,0
15.0,29,2294.666666666667,2376.3333333333335,0
15.0,30,2376.3333333333335,2458.0,2
20.0,1,4.0,85.86666666666666,5
20.0,2,85.86666666666666,167.73333333333332,10
20.0,3,167.73333333333332,249.59999999999997,3
20.0,4,249.59999999999997,331.46666666666664,6
20.0,5,331.46666666666664,413.3333333333333,5
20.0,6,413.3333333333333,495.19999999999993,7
20.0,7,495.19999999999993,577.0666666666666,7
20.0,8,577.0666666666666,658.9333333333333,7
20.0,9,658.9333333333333,740.8,9
20.0,10,740.8,822.6666666666666,4
20.0,11,822.6666666666666,904.5333333333333,7
20.0,12,904.5333333333333,986.3999999999999,2
20.0,13,986.3999999999999,1068.2666666666667,2
20.0,14,1068.2666666666667,1150.1333333333332,2
20.0,15,1150.1333333333332,1232.0,5
20.0,16,1232.0,1313.8666666666666,3
20.0,17,1313.8666666666666,1395.7333333333331,1
20.0,18,1395.7333333333331,1477.6,2
20.0,19,1477.6,1559.4666666666665,2
20.0,20,1559.4666666666665,1641.3333333333333,4
20.0,21,1641.3333333333333,1723.1999999999998,2
20.0,22,1723.1999999999998,1805.0666666666666,1
20.0,23,1805.0666666666666,1886.9333333333332,0
20.0,24,1886.9333333333332,1968.7999999999997,1
20.0,25,1968.7999999999997,2050.6666666666665,1
20.0,26,2050.6666666666665,2132.5333333333333,1
20.0,27,2132.5333333333333,2214.3999999999996,0
20.0,28,2214.3999999999996,2296.2666666666664,0
20.0,29,2296.2666666666664,2378.133333333333,0
20.0,30,2378.133333333333,2460.0,1
