Beta,Energy,Magnetization
0.5,-75,4
0.5,-83,10
0.5,-71,20
0.5,-75,12
0.5,-71,26
0.5,-73,6
0.5,-75,26
0.5,-67,24
0.5,-75,16
0.5,-71,24
0.5,-75,34
0.5,-83,26
0.5,-75,4
0.5,-75,28
0.5,-71,18
0.5,-75,12
0.5,-71,10
0.5,-75,4
0.5,-87,54
0.5,-75,12
0.5,-83,46
0.5,-59,24
0.5,-83,56
0.5,-71,52
0.5,-79,38
0.5,-83,24
0.5,-75,18
0.5,-75,4
0.5,-71,6
0.5,-79,12
0.5,-73,28
0.5,-79,0
0.5,-73,10
0.5,-83,6
0.5,-75,10
0.5,-79,30
0.5,-79,16
0.5,-71,10
0.5,-79,30
0.5,-67,32
0.5,-71,18
0.5,-85,34
0.5,-75,20
0.5,-79,36
0.5,-83,8
0.5,-79,24
0.5,-69,6
0.5,-71,38
0.5,-83,4
0.5,-67,0
1,-95,14
1,-95,82
1,-95,14
1,-99,100
1,-95,44
1,-99,100
1,-95,80
1,-95,88
1,-91,4
1,-95,80
1,-99,100
1,-99,100
1,-91,12
1,-95,12
1,-95,80
1,-95,36
1,-95,12
1,-95,88
1,-99,100
1,-99,100
1,-99,100
1,-95,86
1,-99,100
1,-99,100
1,-91,72
1,-95,30
1,-95,16
1,-99,100
1,-95,48
1,-95,40
1,-91,18
1,-95,8
1,-95,34
1,-95,42
1,-95,28
1,-95,28
1,-95,80
1,-95,46
1,-95,44
1,-95,16
1,-95,8
1,-95,20
1,-95,86
1,-95,0
1,-95,60
1,-99,100
1,-93,8
1,-95,48
1,-95,8
1,-95,22
5,-87,42
5,-83,20
5,-95,60
5,-91,18
5,-87,12
5,-91,56
5,-91,54
5,-87,40
5,-87,18
5,-87,16
5,-87,46
5,-87,20
5,-87,12
5,-87,12
5,-91,44
5,-95,46
5,-87,18
5,-87,48
5,-95,56
5,-95,62
5,-87,26
5,-87,36
5,-91,42
5,-95,28
5,-91,60
5,-91,20
5,-87,14
5,-91,26
5,-87,34
5,-87,4
5,-91,30
5,-87,18
5,-91,28
5,-95,44
5,-87,16
5,-79,20
5,-87,6
5,-91,28
5,-91,24
5,-91,6
5,-91,30
5,-95,70
5,-83,20
5,-91,8
5,-91,34
5,-87,4
5,-87,12
5,-91,22
5,-91,16
5,-79,6
10,-91,40
10,-87,2
10,-91,70
10,-91,28
10,-91,32
10,-87,36
10,-87,34
10,-87,44
10,-79,18
10,-91,38
10,-87,18
10,-91,62
10,-95,2
10,-87,54
10,-91,44
10,-87,48
10,-83,28
10,-87,8
10,-91,6
10,-87,62
10,-87,6
10,-85,6
10,-95,10
10,-91,52
10,-93,12
10,-87,28
10,-91,4
10,-95,84
10,-91,12
10,-87,10
10,-89,28
10,-87,4
10,-87,20
10,-87,18
10,-91,20
10,-91,42
10,-87,10
10,-89,0
10,-87,56
10,-91,68
10,-91,24
10,-87,26
10,-87,8
10,-87,40
10,-91,6
10,-91,52
10,-95,70
10,-95,50
10,-91,80
10,-95,88
15,-91,2
15,-91,48
15,-87,4
15,-91,62
15,-87,12
15,-91,64
15,-91,32
15,-87,58
15,-87,28
15,-87,6
15,-91,26
15,-87,30
15,-87,24
15,-91,46
15,-91,42
15,-91,36
15,-83,14
15,-83,2
15,-83,12
15,-95,10
15,-87,14
15,-91,34
15,-87,16
15,-87,50
15,-87,38
15,-87,20
15,-83,16
15,-91,24
15,-91,46
15,-87,6
15,-87,10
15,-83,32
15,-91,4
15,-87,18
15,-95,14
15,-91,30
15,-87,66
15,-95,90
15,-87,22
15,-91,12
15,-95,44
15,-91,12
15,-87,30
15,-91,64
15,-91,34
15,-87,2
15,-87,38
15,-87,8
15,-83,24
15,-91,54
20,-87,22
20,-87,4
20,-87,48
20,-91,54
20,-85,22
20,-91,52
20,-91,34
20,-91,32
20,-83,10
20,-95,60
20,-87,8
20,-91,48
20,-91,24
20,-95,72
20,-91,2
20,-91,46
20,-91,24
20,-95,12
20,-91,46
20,-93,58
20,-95,36
20,-91,32
20,-91,16
20,-93,4
20,-91,42
20,-91,16
20,-91,2
20,-91,50
20,-95,34
20,-83,0
20,-87,6
20,-91,42
20,-91,4
20,-87,26
20,-91,40
20,-91,64
20,-83,0
20,-91,2
20,-87,14
20,-87,26
20,-89,14
20,-91,72
20,-91,44
20,-91,22
20,-91,40
20,-87,28
20,-91,4
20,-91,48
20,-91,2
20,-87,26
