Beta,Bin,Start,End,Count
0.5,1,-17520.0,-17469.2,1
0.5,2,-17469.2,-17418.4,0
0.5,3,-17418.4,-17367.6,1
0.5,4,-17367.6,-17316.8,1
0.5,5,-17316.8,-17266.0,1
0.5,6,-17266.0,-17215.2,0
0.5,7,-17215.2,-17164.4,5
0.5,8,-17164.4,-17113.6,3
0.5,9,-17113.6,-17062.8,1
0.5,10,-17062.8,-17012.0,3
0.5,11,-17012.0,-16961.2,1
0.5,12,-16961.2,-16910.4,2
0.5,13,-16910.4,-16859.6,6
0.5,14,-16859.6,-16808.8,3
0.5,15,-16808.8,-16758.0,6
0.5,16,-16758.0,-16707.2,3
0.5,17,-16707.2,-16656.4,4
0.5,18,-16656.4,-16605.6,0
0.5,19,-16605.6,-16554.8,1
0.5,20,-16554.8,-16504.0,1
0.5,21,-16504.0,-16453.2,2
0.5,22,-16453.2,-16402.4,2
0.5,23,-16402.4,-16351.6,0
0.5,24,-16351.6,-16300.8,0
0.5,25,-16300.8,-16250.0,0
0.5,26,-16250.0,-16199.2,2
0.5,27,-16199.2,-16148.4,0
0.5,28,-16148.4,-16097.6,0
0.5,29,-16097.6,-16046.8,0
0.5,30,-16046.8,-15996.0,1
1.0,1,-19992.0,-19962.933333333334,19
1.0,2,-19962.933333333334,-19933.866666666665,7
1.0,3,-19933.866666666665,-19904.8,0
1.0,4,-19904.8,-19875.733333333334,1
1.0,5,-19875.733333333334,-19846.666666666668,0
1.0,6,-19846.666666666668,-19817.6,0
1.0,7,-19817.6,-19788.533333333333,0
1.0,8,-19788.533333333333,-19759.466666666667,2
1.0,9,-19759.466666666667,-19730.4,0
1.0,10,-19730.4,-19701.333333333332,1
1.0,11,-19701.333333333332,-19672.266666666666,0
1.0,12,-19672.266666666666,-19643.2,0
1.0,13,-19643.2,-19614.133333333335,0
1.0,14,-19614.133333333335,-19585.066666666666,0
1.0,15,-19585.066666666666,-19556.0,0
1.0,16,-19556.0,-19526.933333333334,0
1.0,17,-19526.933333333334,-19497.866666666665,0
1.0,18,-19497.866666666665,-19468.8,5
1.0,19,-19468.8,-19439.733333333334,8
1.0,20,-19439.733333333334,-19410.666666666668,3
1.0,21,-19410.666666666668,-19381.6,0
