Beta,Energy,Magnetization
0.5,-16604,4622
0.5,-17084,5362
0.5,-16808,6574
0.5,-17584,8964
0.5,-16740,1622
0.5,-17708,9234
0.5,-17320,9094
0.5,-16576,88
0.5,-16636,5806
0.5,-16728,4120
0.5,-16808,1860
0.5,-17124,8622
0.5,-17088,7132
0.5,-16624,3918
0.5,-16772,4408
0.5,-17352,9118
0.5,-16760,7106
0.5,-17040,8908
0.5,-16556,2846
0.5,-16676,3602
0.5,-16708,2616
0.5,-16748,1096
0.5,-17540,9134
0.5,-16520,2170
0.5,-17668,9216
0.5,-17168,7128
0.5,-17396,8854
0.5,-16868,6274
0.5,-16924,4782
0.5,-17012,6434
0.5,-17640,9192
0.5,-16988,7214
0.5,-16564,2516
0.5,-16900,704
0.5,-16928,7182
0.5,-16708,4986
0.5,-16964,8224
0.5,-17412,9112
0.5,-17088,5800
0.5,-16612,3798
0.5,-16932,3346
0.5,-16960,5162
0.5,-17408,9076
0.5,-16724,1344
0.5,-17408,8986
0.5,-16264,2524
0.5,-17088,562
0.5,-17168,7538
0.5,-17048,8502
0.5,-16268,1026
1,-19968,9992
1,-19708,8588
1,-19956,9988
1,-19960,9990
1,-19444,2864
1,-19972,9992
1,-19464,1534
1,-19436,5754
1,-19452,2638
1,-19444,2392
1,-19440,886
1,-19128,446
1,-19140,2146
1,-19440,1846
1,-19476,936
1,-19448,1448
1,-19764,8866
1,-19784,9334
1,-19440,798
1,-19968,9992
1,-19944,9976
1,-19984,9996
1,-19444,1104
1,-19864,9720
1,-19992,9998
1,-19424,122
1,-19160,3472
1,-19492,32
1,-19948,9986
1,-19984,9996
1,-19480,208
1,-19984,9996
1,-19476,4278
1,-20000,10000
1,-19472,1472
1,-19460,1536
1,-19476,990
1,-19960,9990
1,-19976,9994
1,-19472,4472
1,-19816,9394
1,-19968,9992
1,-19968,9992
1,-19440,716
1,-19968,9992
1,-19968,9992
1,-19836,9530
1,-19472,3686
1,-19976,9994
1,-19480,3346
5,-19200,812
5,-20000,10000
5,-19588,12
5,-19588,2268
5,-19992,9998
5,-20000,10000
5,-19584,4674
5,-20000,10000
5,-19992,9998
5,-19592,3354
5,-19584,724
5,-19992,9998
5,-19584,698
5,-19596,1764
5,-19584,472
5,-19992,9998
5,-20000,10000
5,-19592,2982
5,-20000,10000
5,-19576,4906
5,-20000,10000
5,-20000,10000
5,-19924,9856
5,-20000,10000
5,-19584,344
5,-20000,10000
5,-19592,2210
5,-20000,10000
5,-19872,9558
5,-19584,3350
5,-20000,10000
5,-19596,942
5,-20000,10000
5,-19576,1040
5,-19592,352
5,-19600,3400
5,-19564,2486
5,-19588,822
5,-20000,10000
5,-20000,10000
5,-20000,10000
5,-19992,9998
5,-19992,9998
5,-20000,10000
5,-20000,10000
5,-19596,510
5,-19584,160
5,-19592,1902
5,-19848,9474
5,-20000,10000
10,-20000,10000
10,-19576,1246
10,-19992,9998
10,-19596,1524
10,-20000,10000
10,-20000,10000
10,-19588,328
10,-19584,176
10,-20000,10000
10,-19572,574
10,-19992,9998
10,-19992,9998
10,-19992,9998
10,-19992,9998
10,-19592,2530
10,-19580,4346
10,-20000,10000
10,-19992,9998
10,-19576,340
10,-20000,10000
10,-19588,2730
10,-19992,9998
10,-19584,64
10,-20000,10000
10,-20000,10000
10,-20000,10000
10,-20000,10000
10,-19592,38
10,-20000,10000
10,-20000,10000
10,-20000,10000
10,-20000,10000
10,-19976,9994
10,-20000,10000
10,-19596,1180
10,-20000,10000
10,-20000,10000
10,-19976,9994
10,-19992,9998
10,-20000,10000
10,-19868,9604
10,-19992,9998
10,-19976,9994
10,-20000,10000
10,-20000,10000
10,-19192,538
10,-19584,3160
10,-20000,10000
10,-19580,1928
10,-19596,270
15,-19588,3498
15,-20000,10000
15,-19584,1920
15,-19564,1260
15,-20000,10000
15,-20000,10000
15,-19588,502
15,-19588,860
15,-20000,10000
15,-19984,9996
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-19596,954
15,-20000,10000
15,-19200,1198
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-19992,9998
15,-19596,2484
15,-19592,386
15,-20000,10000
15,-19812,9186
15,-19992,9998
15,-19984,9996
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-19992,9998
15,-19592,3930
15,-19992,9998
15,-19576,1672
15,-19200,210
15,-20000,10000
15,-19592,2398
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-19572,1174
15,-20000,10000
15,-20000,10000
15,-20000,10000
15,-19984,9996
15,-19992,9998
15,-19596,4720
15,-19584,3360
15,-19592,3798
20,-19588,1406
20,-19992,9998
20,-19580,3262
20,-20000,10000
20,-20000,10000
20,-20000,10000
20,-19572,2282
20,-20000,10000
20,-20000,10000
20,-19992,9998
20,-19992,9998
20,-19596,1428
20,-20000,10000
20,-20000,10000
20,-19588,370
20,-20000,10000
20,-19588,1214
20,-19596,1148
20,-20000,10000
20,-19992,9998
20,-19596,4476
20,-20000,10000
20,-20000,10000
20,-19572,68
20,-20000,10000
20,-19592,1304
20,-19992,9998
20,-19992,9998
20,-20000,10000
20,-19992,9998
20,-19568,2082
20,-19600,800
20,-20000,10000
20,-20000,10000
20,-19992,9998
20,-20000,10000
20,-20000,10000
20,-20000,10000
20,-20000,10000
20,-20000,10000
20,-19992,9998
20,-20000,10000
20,-20000,10000
20,-19200,120
20,-19596,1272
20,-19592,640
20,-19584,1470
20,-20000,10000
20,-20000,10000
20,-20000,10000
