Beta,Bin,Start,End,Count
0.5,1,172.0,471.26666666666665,2
0.5,2,471.26666666666665,770.5333333333333,0
0.5,3,770.5333333333333,1069.8,4
0.5,4,1069.8,1369.0666666666666,0
0.5,5,1369.0666666666666,1668.3333333333333,1
0.5,6,1668.3333333333333,1967.6,1
0.5,7,1967.6,2266.866666666667,7
0.5,8,2266.866666666667,2566.133333333333,2
0.5,9,2566.133333333333,2865.3999999999996,0
0.5,10,2865.3999999999996,3164.6666666666665,0
0.5,11,3164.6666666666665,3463.9333333333334,1
0.5,12,3463.9333333333334,3763.2,1
0.5,13,3763.2,4062.4666666666662,1
0.5,14,4062.4666666666662,4361.733333333334,1
0.5,15,4361.733333333334,4661.0,0
0.5,16,4661.0,4960.266666666666,1
0.5,17,4960.266666666666,5259.533333333333,3
0.5,18,5259.533333333333,5558.799999999999,3
0.5,19,5558.799999999999,5858.066666666667,0
0.5,20,5858.066666666667,6157.333333333333,1
0.5,21,6157.333333333333,6456.599999999999,1
0.5,22,6456.599999999999,6755.866666666667,4
0.5,23,6755.866666666667,7055.133333333333,1
0.5,24,7055.133333333333,7354.4,4
0.5,25,7354.4,7653.666666666666,2
0.5,26,7653.666666666666,7952.9333333333325,1
0.5,27,7952.9333333333325,8252.2,2
0.5,28,8252.2,8551.466666666667,3
0.5,29,8551.466666666667,8850.733333333334,0
0.5,30,8850.733333333334,9150.0,3
1.0,1,64.0,395.1333333333333,4
1.0,2,395.1333333333333,726.2666666666667,0
1.0,3,726.2666666666667,1057.4,3
1.0,4,1057.4,1388.5333333333333,1
1.0,5,1388.5333333333333,1719.6666666666665,4
1.0,6,1719.6666666666665,2050.8,1
1.0,7,2050.8,2381.9333333333334,1
1.0,8,2381.9333333333334,2713.0666666666666,3
1.0,9,2713.0666666666666,3044.2,0
1.0,10,3044.2,3375.333333333333,0
1.0,11,3375.333333333333,3706.4666666666667,1
1.0,12,3706.4666666666667,4037.6,0
1.0,13,4037.6,4368.733333333334,0
1.0,14,4368.733333333334,4699.866666666667,0
1.0,15,4699.866666666667,5031.0,1
1.0,16,5031.0,5362.133333333333,1
1.0,17,5362.133333333333,5693.266666666666,0
1.0,18,5693.266666666666,6024.4,0
1.0,19,6024.4,6355.533333333333,0
1.0,20,6355.533333333333,6686.666666666666,0
1.0,21,6686.666666666666,7017.8,0
1.0,22,7017.8,7348.933333333333,0
1.0,23,7348.933333333333,7680.066666666667,0
1.0,24,7680.066666666667,8011.2,0
1.0,25,8011.2,8342.333333333334,0
1.0,26,8342.333333333334,8673.466666666667,1
1.0,27,8673.466666666667,9004.6,1
1.0,28,9004.6,9335.733333333334,1
1.0,29,9335.733333333334,9666.866666666667,0
1.0,30,9666.866666666667,9998.0,27
5.0,1,350.0,671.6666666666667,5
